MPa	t0	tf	Hours	Strain	Culture
-0.010613289	3.80E+06	2.30E+08	72	OE	mono
-0.051795689	3.10E+06	1.00E+09	72	OE	mono
-0.051795689	3.80E+06	1.00E+09	72	OE	mono
-0.099487931	2.50E+06	5.60E+08	72	OE	mono
-0.099487931	2.10E+06	1.00E+08	72	OE	mono
-0.485527716	3.30E+06	1.20E+08	72	OE	mono
-0.485527716	8.00E+05	1.10E+08	72	OE	mono
-1.052777276	6.00E+05	1.00E+05	72	OE	mono
-1.052777276	1.60E+06	5.00E+04	72	OE	mono
-1.405646845	6.00E+05	1.00E+03	72	OE	mono
-1.405646845	1.10E+06	1.00E+03	72	OE	mono
-0.051795689	1.70E+06	1.00E+09	72	OE	mono
-0.051795689	4.50E+06	1.00E+09	72	OE	mono
-0.485527716	3.30E+06	1.20E+08	72	OE	mono
-0.485527716	8.00E+05	1.70E+08	72	OE	mono
-0.485527716	1.50E+06	2.00E+07	72	OE	mono
-0.485527716	1.40E+06	1.40E+08	72	OE	mono
-0.485527716	1.00E+05	8.32E+07	96	OE	mono
-0.485527716	3.00E+05	2.64E+08	96	OE	mono
-0.485527716	2.00E+05	1.13E+08	96	OE	mono
-0.485527716	3.00E+05	1.05E+08	96	OE	mono
-0.485527716	1.60E+06	1.64E+08	144	OE	mono
-0.485527716	6.00E+05	2.17E+08	144	OE	mono
-0.485527716	4.00E+05	1.32E+08	144	OE	mono
-0.485527716	8.00E+05	1.33E+08	144	OE	mono
-1.052777276	4.00E+05	5.00E+06	72	OE	mono
-1.052777276	3.00E+05	1.00E+07	72	OE	mono
-1.052777276	4.00E+05	5.00E+06	72	OE	mono
-1.052777276	2.00E+05	5.00E+06	72	OE	mono
-0.485527716	1.60E+06	1.64E+08	144	OE	mono
-0.485527716	6.00E+05	2.17E+08	144	OE	mono
-0.485527716	4.00E+05	1.32E+08	144	OE	mono
-0.485527716	8.00E+05	1.33E+08	144	OE	mono
-0.010613289	3.90E+06	1.00E+07	72	NM	mono
-0.010613289	1.40E+06	1.00E+07	72	NM	mono
-0.051795689	3.70E+06	1.20E+08	72	NM	mono
-0.051795689	1.10E+06	6.00E+07	72	NM	mono
-0.099487931	3.70E+06	6.00E+07	72	NM	mono
-0.099487931	5.30E+06	9.00E+07	72	NM	mono
-0.485527716	9.00E+05	1.00E+05	72	NM	mono
-0.485527716	1.40E+06	1.00E+05	72	NM	mono
-1.052777276	1.00E+06	9.00E+02	72	NM	mono
-1.052777276	3.00E+05	9.00E+02	72	NM	mono
-1.405646845	3.00E+05	9.00E+02	72	NM	mono
-1.405646845	1.00E+05	9.00E+02	72	NM	mono
-0.051795689	4.20E+06	1.80E+08	72	NM	mono
-0.051795689	1.80E+06	2.00E+07	72	NM	mono
-0.485527716	9.00E+05	1.00E+05	72	NM	mono
-0.485527716	1.40E+06	1.00E+05	72	NM	mono
-0.485527716	2.10E+06	9.00E+02	72	NM	mono
-0.485527716	4.90E+06	9.00E+02	72	NM	mono
-0.485527716	2.00E+05	1.00E+06	96	NM	mono
-0.485527716	3.00E+05	9.00E+05	96	NM	mono
-0.485527716	2.00E+05	1.70E+06	96	NM	mono
-0.485527716	1.00E+05	7.00E+05	96	NM	mono
-0.485527716	9.00E+05	3.90E+06	144	NM	mono
-0.485527716	5.00E+05	1.32E+07	144	NM	mono
-0.485527716	7.00E+05	9.50E+06	144	NM	mono
-0.485527716	1.10E+06	1.89E+07	144	NM	mono
-1.052777276	3.50E+05	3.50E+04	72	NM	mono
-1.052777276	3.50E+05	1.30E+04	72	NM	mono
-1.052777276	3.00E+05	1.70E+04	72	NM	mono
-1.052777276	4.00E+05	1.40E+04	72	NM	mono
-0.485527716	9.00E+05	3.90E+06	144	NM	mono
-0.485527716	5.00E+05	1.32E+07	144	NM	mono
-0.485527716	7.00E+05	9.50E+06	144	NM	mono
-0.485527716	1.10E+06	1.89E+07	144	NM	mono
